country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
8.0,90,19.0,46.0,91.0,6.0,50.0,0,0,0,0,0,0,2015.0,0
10.0,89,20.0,47.0,,6.0,1.0,0,0,0,0,0,0,2012.0,0
8.0,90,48.0,14.0,13.0,6.0,9.0,1,0,0,0,0,0,2007.0,1
1.0,90,38.0,15.0,92.0,11.0,6.0,0,0,0,0,0,0,2009.0,0
2.0,88,18.0,48.0,,4.0,49.0,0,0,0,0,0,0,2014.0,0
1.0,84,47.0,9.0,85.0,,12.0,0,0,0,0,1,0,2006.0,1
1.0,85,16.0,9.0,93.0,7.0,11.0,0,0,1,0,0,0,2014.0,0
1.0,88,39.0,9.0,8.0,,1.0,0,0,0,0,0,1,2009.0,0
3.0,94,94.0,49.0,,,51.0,1,0,0,0,1,0,1997.0,0
7.0,89,90.0,16.0,94.0,,47.0,1,0,0,0,0,0,2008.0,0
1.0,88,32.0,1.0,1.0,1.0,38.0,1,0,0,0,0,0,2013.0,0
1.0,91,38.0,1.0,1.0,11.0,28.0,1,0,0,0,0,0,2008.0,0
1.0,84,19.0,9.0,88.0,,52.0,0,0,0,0,1,0,2009.0,0
1.0,90,28.0,15.0,14.0,11.0,53.0,0,0,0,0,0,0,2012.0,0
1.0,88,30.0,9.0,20.0,9.0,43.0,1,0,0,0,1,0,2012.0,0
10.0,85,19.0,26.0,,6.0,29.0,0,0,0,0,0,0,2011.0,0
7.0,86,14.0,31.0,95.0,,9.0,0,0,0,0,0,0,2010.0,1
1.0,88,31.0,1.0,1.0,11.0,28.0,0,0,0,0,0,0,2006.0,0
5.0,91,35.0,6.0,3.0,3.0,11.0,0,0,0,0,0,0,2011.0,0
2.0,85,10.0,48.0,,2.0,34.0,0,0,0,0,0,0,2007.0,0
6.0,87,17.0,7.0,96.0,6.0,25.0,1,0,0,0,0,0,2013.0,0
1.0,89,20.0,1.0,1.0,1.0,9.0,1,0,0,0,0,0,2012.0,1
6.0,92,50.0,7.0,4.0,6.0,25.0,1,0,0,0,0,1,2012.0,0
8.0,87,34.0,14.0,97.0,6.0,9.0,1,0,0,0,0,0,2007.0,1
7.0,94,65.0,10.0,7.0,,54.0,0,0,0,0,0,0,2008.0,0
5.0,85,25.0,11.0,98.0,3.0,12.0,1,0,0,0,0,0,2014.0,1
9.0,90,25.0,24.0,,5.0,24.0,0,0,0,0,0,0,2009.0,0
7.0,88,50.0,16.0,94.0,8.0,9.0,0,0,0,0,0,0,2008.0,1
1.0,94,44.0,9.0,75.0,9.0,6.0,0,0,0,0,0,1,2012.0,0
1.0,86,15.0,1.0,99.0,11.0,30.0,1,0,0,0,0,0,2004.0,0
7.0,94,34.0,22.0,29.0,8.0,27.0,1,0,0,0,0,0,2014.0,0
11.0,93,119.0,29.0,46.0,5.0,34.0,0,0,0,0,0,0,2009.0,0
1.0,91,32.0,9.0,100.0,9.0,52.0,1,0,0,0,1,0,2015.0,0
7.0,85,15.0,31.0,101.0,8.0,55.0,1,1,0,0,0,0,2014.0,0
7.0,87,,17.0,44.0,,56.0,0,0,0,0,1,0,2009.0,0
5.0,88,,11.0,102.0,3.0,12.0,1,0,0,0,0,0,2011.0,1
1.0,91,50.0,9.0,55.0,12.0,30.0,0,0,0,0,0,0,2013.0,0
7.0,97,90.0,40.0,103.0,,57.0,0,1,0,0,0,0,2007.0,0
5.0,92,,8.0,104.0,3.0,8.0,0,0,0,0,0,0,2013.0,0
1.0,90,25.0,9.0,32.0,12.0,8.0,0,0,0,0,0,0,2013.0,0
1.0,89,26.0,9.0,53.0,12.0,51.0,0,0,0,0,0,0,2010.0,0
1.0,88,75.0,9.0,105.0,9.0,58.0,1,0,0,0,0,1,2014.0,0
1.0,88,48.0,9.0,34.0,9.0,8.0,0,0,0,0,0,0,2014.0,0
8.0,82,18.0,19.0,106.0,6.0,59.0,0,0,0,0,0,0,2007.0,0
5.0,86,14.0,32.0,63.0,3.0,13.0,0,0,0,0,0,0,2011.0,0
5.0,86,15.0,11.0,107.0,3.0,12.0,1,0,0,0,0,0,2010.0,1
1.0,84,34.0,1.0,56.0,1.0,30.0,1,0,0,0,0,0,2013.0,0
7.0,92,210.0,22.0,29.0,,27.0,0,0,0,0,0,0,2005.0,0
5.0,87,16.0,11.0,98.0,3.0,12.0,0,0,0,0,0,0,2012.0,1
6.0,80,8.0,7.0,4.0,6.0,28.0,0,0,0,0,0,1,2007.0,0
1.0,93,60.0,15.0,108.0,11.0,6.0,1,0,0,0,0,0,2010.0,0
14.0,92,20.0,50.0,,16.0,60.0,0,0,0,0,0,0,2016.0,0
1.0,86,9.0,25.0,109.0,13.0,18.0,0,0,0,0,0,1,,1
8.0,92,44.0,14.0,13.0,6.0,9.0,1,0,0,0,0,0,2009.0,1
6.0,84,17.0,27.0,110.0,6.0,1.0,0,0,0,0,0,0,2007.0,0
7.0,93,64.0,22.0,42.0,8.0,27.0,1,0,0,0,0,0,2011.0,0
11.0,91,70.0,29.0,111.0,5.0,34.0,0,0,0,0,0,0,2006.0,0
5.0,91,32.0,8.0,70.0,3.0,8.0,0,0,0,0,0,0,2014.0,0
1.0,86,12.0,1.0,1.0,1.0,30.0,0,0,0,0,0,0,2012.0,0
8.0,85,30.0,14.0,21.0,6.0,18.0,0,1,0,0,0,0,,1
6.0,92,50.0,7.0,4.0,6.0,25.0,1,0,0,0,0,0,2007.0,0
11.0,86,15.0,29.0,112.0,5.0,28.0,1,0,0,0,0,0,2004.0,0
1.0,84,19.0,15.0,14.0,11.0,6.0,0,0,0,0,0,0,2013.0,0
5.0,92,,8.0,113.0,3.0,6.0,0,0,0,0,0,0,2010.0,0
1.0,94,36.0,9.0,78.0,9.0,6.0,0,0,0,0,1,0,2014.0,0
1.0,83,24.0,9.0,55.0,,26.0,0,1,0,0,0,0,2009.0,0
3.0,84,10.0,51.0,,3.0,61.0,0,0,0,0,0,0,2015.0,0
7.0,91,80.0,17.0,44.0,,9.0,0,0,0,0,0,0,2005.0,1
15.0,88,20.0,52.0,,2.0,9.0,1,0,0,0,1,0,2009.0,1
5.0,89,66.0,8.0,114.0,3.0,8.0,0,0,0,0,0,0,2014.0,0
5.0,87,55.0,28.0,45.0,3.0,33.0,0,0,0,0,0,0,,1
10.0,87,22.0,53.0,,6.0,62.0,1,0,0,0,1,0,2007.0,0
14.0,88,13.0,54.0,,3.0,60.0,0,0,0,0,0,0,2009.0,0
3.0,89,13.0,33.0,,3.0,3.0,1,0,0,0,0,0,2011.0,0
1.0,87,30.0,15.0,115.0,11.0,63.0,0,0,0,0,0,0,2013.0,0
1.0,85,22.0,9.0,116.0,12.0,64.0,0,0,0,0,0,0,2006.0,0
